scenario_name,rinex_file,trajectory_mode,start_time,end_time,interval_seconds,receiver_lat,receiver_lon,receiver_height,total_epochs,success_epochs,failed_epochs,success_rate,average_satellite_count,average_pdop,average_gdop,mean_error_3d,rms_error_3d,max_error_3d,output_dir,status,failure_reason
场景 1,E:/学习工作/中级项目课/AAA/nav/tarc1240.26b_cnav,静态接收机,2026-04-01 00:00:00,2026-04-01 06:00:00,300,44.0,126.0,35.3,73,73,0,1.0,24.0,0.6199291461569548,0.6549837276679787,1.9773412936127137,2.150481159725138,3.870069894432317,outputs\basic\gui_scenario_runner\scenario_1,成功,
场景 2,nav/tarc1220.26b_cnav,动态直线运动,2026-05-02 00:00:00,2026-05-02 06:00:00,300,31.2304,121.4737,20.0,73,73,0,1.0,24.0,0.6202367289401587,0.6553664006080294,1.9231577806576028,2.064224556127006,4.042210482567428,outputs\basic\gui_scenario_runner\scenario_2,成功,
场景 3,nav/tarc1230.26b_cnav,动态折线轨迹,2026-05-03 00:00:00,2026-05-03 06:00:00,300,23.1291,113.2644,20.0,73,73,0,1.0,24.0,0.6203064690854213,0.6554159777837005,1.8827014092053265,2.070896092825584,3.9734930319682364,outputs\basic\gui_scenario_runner\scenario_3,成功,
