sat_id,toc_time,toe_s,af0_s,af1_s_per_s,af2_s_per_s2,sqrt_a_sqrt_m,eccentricity,i0_rad,omega0_rad,omega_rad,m0_rad,delta_n_rad_s,health,is_healthy
C01,2026-04-30 00:00:00,345600.0,-7.683411240578e-07,2.22044604925e-14,0.0,6493.453140259,0.0003106031799689,0.08952220539347,3.102706216625,1.471573796887,-2.060930322729,1.744358373814e-09,0.0,True
C01,2026-04-30 01:00:00,349200.0,-7.679918780923e-07,5.950795411991e-14,0.0,6493.452817917,0.0003105743089691,0.08699949825545,-2.922520426912,1.214050842914,-1.798859071598,2.629752396886e-09,0.0,True
C01,2026-04-30 02:00:00,352800.0,-7.678754627705e-07,5.506706202141e-14,0.0,6493.445775986,0.0003101053880528,0.08445858949069,-2.656913813342,0.9577532832514,-1.54563245055,3.654795094029e-09,0.0,True
C01,2026-04-30 03:00:00,356400.0,-7.676426321268e-07,5.062616992291e-14,0.0,6493.43488884,0.0003083334304392,0.08207958186976,-2.383194932812,0.6975110790962,-1.296545197169,4.813771941495e-09,0.0,True
C01,2026-04-30 04:00:00,360000.0,-7.676426321268e-07,2.84217094304e-14,0.0,6493.424785614,0.0003058080328628,0.08004646659949,-2.101561084695,0.4268276116776,-1.044906022176,6.009536035583e-09,0.0,True
C01,2026-04-30 05:00:00,363600.0,-7.679918780923e-07,-2.93098878501e-14,0.0,6493.420190811,0.0003043437609449,0.07852996621973,-1.813072447185,0.1423945663681,-0.786351362782,7.005291798522e-09,0.0,True
C01,2026-04-30 06:00:00,367200.0,-7.678754627705e-07,1.06581410364e-14,0.0,6493.424160004,0.0003058753209189,0.07766653002558,-1.519723855376,-0.1528324429761,-0.5218490782745,7.426023609405e-09,0.0,True
C01,2026-04-30 07:00:00,370800.0,-7.679918780923e-07,-2.04281036531e-14,0.0,6493.435829163,0.0003106718650088,0.07753752259476,-1.224281738557,-0.4502439562052,-0.2572507766017,7.165655621176e-09,0.0,True
C01,2026-04-30 08:00:00,374400.0,-7.678754627705e-07,1.06581410364e-14,0.0,6493.450237274,0.0003166001988575,0.07815536849052,-0.9298749668991,-0.7422198334638,0.00294317466361,6.261689395926e-09,0.0,True
C01,2026-04-30 09:00:00,378000.0,-7.678754627705e-07,-3.552713678801e-15,0.0,6493.460166931,0.0003204343374819,0.07946130814529,-0.6394506503149,-1.027864027188,0.2607755021635,4.895203904892e-09,0.0,True
C01,2026-04-30 10:00:00,381600.0,-7.681082934141e-07,-2.75335310107e-14,0.0,6493.460477829,0.0003205700777471,0.0813358372441,-0.3552989168375,-1.311868316078,0.523221684569,3.269064741097e-09,0.0,True
C01,2026-04-30 11:00:00,385200.0,-7.683411240578e-07,-3.641531520771e-14,0.0,6493.452430725,0.0003185438690707,0.08361771880791,-0.07880250054331,-1.596650104966,0.7940777836356,1.547207304537e-09,0.0,True
C01,2026-04-30 12:00:00,388800.0,-7.686903700233e-07,-6.306066779871e-14,0.0,6493.44360733,0.0003171399002895,0.08612548516359,0.189561217677,-1.87564634397,1.067255799945,-2.814402945465e-10,0.0,True
C01,2026-04-30 13:00:00,392400.0,-7.684575393796e-07,-9.769962616701e-15,0.0,6493.442487717,0.0003170305863023,0.0886759950597,0.450055149072,-2.137578040031,1.331212208275,-2.035084769449e-09,0.0,True
C01,2026-04-30 14:00:00,396000.0,-7.678754627705e-07,7.016609515631e-14,0.0,6493.450832367,0.0003165131201968,0.09109829335244,0.7034548889197,-2.380183249695,1.582908058177,-3.416213727586e-09,0.0,True
C01,2026-04-30 15:00:00,399600.0,-7.676426321268e-07,6.394884621841e-14,0.0,6493.461984634,0.0003147693350911,0.09324266793139,0.9508400970952,-2.61401558687,1.83181705499,-4.333037631267e-09,0.0,True
C01,2026-04-30 16:00:00,403200.0,-7.678754627705e-07,1.7763568394e-15,0.0,6493.466760635,0.0003136257873848,0.0949855621985,1.193446779917,-2.851515110033,2.089145752461,-4.744126183327e-09,0.0,True
C01,2026-04-30 17:00:00,406800.0,-7.682247087359e-07,-4.352074256531e-14,0.0,6493.460859299,0.0003155887825415,0.09623208543548,1.432574703527,-3.095375670181,2.356294106136,-4.663408535398e-09,0.0,True
C01,2026-04-30 18:00:00,410400.0,-7.683411240578e-07,-3.552713678801e-14,0.0,6493.447395325,0.0003207514528185,0.09691723580332,1.669538197413,2.944011958921,2.625532160753,-4.281249759808e-09,0.0,True
C01,2026-04-30 19:00:00,414000.0,-7.681082934141e-07,4.440892098501e-15,0.0,6493.433328629,0.0003265421837568,0.09700609491037,1.905650995659,2.705383465303,2.890448755364,-3.659080986839e-09,0.0,True
C01,2026-04-30 20:00:00,417600.0,-7.679918780923e-07,2.04281036531e-14,0.0,6493.42506218,0.0003299543168396,0.09649405456469,2.142224083523,2.469952843313,-3.131472951424,-2.811188525857e-09,0.0,True
C01,2026-04-30 21:00:00,421200.0,-7.676426321268e-07,5.240252676231e-14,0.0,6493.425409317,0.0003298440715298,0.09540689723451,2.380570254432,2.231224455797,-2.868672739917,-1.772216677081e-09,0.0,True
C01,2026-04-30 22:00:00,424800.0,-7.677590474486e-07,1.50990331349e-14,0.0,6493.433145523,0.0003273256588727,0.09380078141905,2.622006064437,1.983667720477,-2.600116485585,-6.268118235141e-10,0.0,True
C01,2026-04-30 23:00:00,428400.0,-7.677590474486e-07,2.04281036531e-14,0.0,6493.444324493,0.00032455381006,0.09176188908529,2.86784072574,1.726365318959,-2.326191825147,5.360937590283e-10,0.0,True
C02,2026-04-30 00:00:00,345600.0,3.351597115397e-07,-9.237055564881e-14,0.0,6493.410942078,0.0002942179562524,0.1348947383587,-3.020124578825,0.1360392859652,-1.932976040782,3.646223308408e-09,0.0,True
C02,2026-04-30 01:00:00,349200.0,3.348104655743e-07,-9.947598300641e-14,0.0,6493.415590286,0.0002943066647276,0.1350337272796,-2.850931042916,-0.04026368070963,-1.663896898567,4.183745698373e-09,0.0,True
C02,2026-04-30 02:00:00,352800.0,3.350432962179e-07,-2.57571741713e-14,0.0,6493.425924301,0.0002955760573968,0.133044351797,-2.68120206436,-0.2244312847381,-1.387472484175,4.659479800322e-09,0.0,True
C02,2026-04-30 03:00:00,356400.0,3.357417881489e-07,8.437694987151e-14,0.0,6493.437030792,0.0002980638528243,0.1289703063481,-2.509630547797,-0.4095772444905,-1.111860741257,5.114498753688e-09,0.0,True
C02,2026-04-30 04:00:00,360000.0,3.357417881489e-07,4.884981308351e-14,0.0,6493.444267273,0.0003002893645316,0.1229029179827,-2.334675347068,-0.5916989458818,-0.8425728976861,5.587018436029e-09,0.0,True
C02,2026-04-30 05:00:00,363600.0,3.357417881489e-07,2.13162820728e-14,0.0,6493.444835663,0.0003004801692441,0.1149834109606,-2.154329126444,-0.7728234491644,-0.5795618577405,6.118111986779e-09,0.0,True
C02,2026-04-30 06:00:00,367200.0,3.357417881489e-07,1.50990331349e-14,0.0,6493.438516617,0.0002979052951559,0.1054081410722,-1.965747981957,-0.9599677125884,-0.3186344022761,6.750281176306e-09,0.0,True
C02,2026-04-30 07:00:00,370800.0,3.362074494362e-07,6.394884621841e-14,0.0,6493.427839279,0.0002934881485999,0.09444032531577,-1.764604054796,-1.162153584133,-0.05508527472851,7.473525588053e-09,0.0,True
C02,2026-04-30 08:00:00,374400.0,3.365566954017e-07,8.792966355031e-14,0.0,6493.417198181,0.0002893090713769,0.08243606574731,-1.543881015767,-1.387628232286,0.2123176208411,8.253558079537e-09,0.0,True
C02,2026-04-30 09:00:00,378000.0,3.366731107235e-07,5.329070518201e-14,0.0,6493.411308289,0.0002872627228498,0.06990313538046,-1.291595211965,-1.644287722269,0.4794775959379,8.88537011133e-09,0.0,True
C02,2026-04-30 10:00:00,381600.0,3.36323864758e-07,-8.881784197001e-15,0.0,6493.413564682,0.0002878315281123,0.05763525065953,-0.9868061428825,-1.946154300887,0.7394573686818,8.700005247282e-09,0.0,True
C02,2026-04-30 11:00:00,385200.0,3.362074494362e-07,-1.86517468137e-14,0.0,6493.423707962,0.000289645511657,0.04699775010208,-0.5959001350039,-2.323488532475,0.9888763226452,6.275975705294e-09,0.0,True
C02,2026-04-30 12:00:00,388800.0,3.358582034707e-07,-5.417888360171e-14,0.0,6493.437429428,0.0002908308524638,0.04029170290544,-0.08868140931951,-2.81102938908,1.232243888178,-5.193073455211e-10,0.0,True
C02,2026-04-30 13:00:00,392400.0,3.362074494362e-07,4.440892098501e-15,0.0,6493.447877884,0.0002907150192186,0.04007186874275,0.4877236057944,2.911222374954,1.479835486299,-9.298244452061e-09,0.0,True
C02,2026-04-30 14:00:00,396000.0,3.365566954017e-07,5.773159728051e-14,0.0,6493.450786591,0.0002904264256358,0.04644359965949,1.001848758954,2.401686312424,1.738289909472,-1.168655822063e-08,0.0,True
C02,2026-04-30 15:00:00,399600.0,3.36323864758e-07,-3.552713678801e-15,0.0,6493.44247818,0.0002921578707173,0.05691843981863,1.399351020564,1.994507731321,2.010955022314,-1.081866492653e-08,0.0,True
C02,2026-04-30 16:00:00,403200.0,3.349268808961e-07,-1.882938249764e-13,0.0,6493.433309555,0.0002949711633846,0.06913664676742,1.708339556914,1.677139695303,2.282237948211,-8.052478275185e-09,0.0,True
C02,2026-04-30 17:00:00,406800.0,3.339955583215e-07,-2.184918912462e-13,0.0,6493.430538177,0.0002959745470434,0.08168449889868,1.963122911515,1.420713008251,2.546673427102,-5.549874031673e-09,0.0,True
C02,2026-04-30 18:00:00,410400.0,3.334134817123e-07,-1.909583602355e-13,0.0,6493.437149048,0.0002932857023552,0.09374311026253,2.185357833954,1.200467347186,2.807345130839,-3.543004723225e-09,0.0,True
C02,2026-04-30 19:00:00,414000.0,3.342283889651e-07,-7.993605777301e-15,0.0,6493.447841644,0.0002888534218073,0.1047918473325,2.387445823113,0.9976738277481,3.070568590878,-1.937937865748e-09,0.0,True
C02,2026-04-30 20:00:00,417600.0,3.346940502524e-07,4.707345624411e-14,0.0,6493.453655243,0.000286542577669,0.1144672188534,2.576628940835,0.8059543992129,-2.947707028127,-6.15739933754e-10,0.0,True
C02,2026-04-30 21:00:00,421200.0,3.350432962179e-07,7.105427357601e-14,0.0,6493.449399948,0.0002879940439016,0.1225009227237,2.757357982251,0.628483896637,-2.6887268439,5.389510209019e-10,0.0,True
C02,2026-04-30 22:00:00,424800.0,3.350432962179e-07,3.641531520771e-14,0.0,6493.436855316,0.0002914929063991,0.1286925391665,2.932544217243,0.4662120318082,-2.439516839988,1.589351917173e-09,0.0,True
C02,2026-04-30 23:00:00,428400.0,3.350432962179e-07,2.6645352591e-14,0.0,6493.422554016,0.000294323079288,0.1328973226784,3.104232757012,0.3118747917969,-2.194829922768,2.536534228261e-09,0.0,True
C03,2026-04-30 00:00:00,345600.0,-5.993060767651e-07,4.618527782441e-14,0.0,6493.480400085,0.0004132683388889,0.1239377642882,-2.912623260918,-0.03175688815043,-1.340164747584,4.094813422558e-09,0.0,True
C03,2026-04-30 01:00:00,349200.0,-5.987240001559e-07,1.003641614261e-13,0.0,6493.491737366,0.0004159815143794,0.1266691025623,-2.731568654399,-0.2225249430228,-1.068368690004,4.556618372874e-09,0.0,True
C03,2026-04-30 02:00:00,352800.0,-5.984911695123e-07,9.414691248821e-14,0.0,6493.49879837,0.0004182324046269,0.1275241006449,-2.551938502916,-0.4071366290005,-0.8013363471953,4.951634826895e-09,0.0,True
C03,2026-04-30 03:00:00,356400.0,-5.98025508225e-07,1.092459456231e-13,0.0,6493.499019623,0.000418295385316,0.1264816325363,-2.372238194271,-0.5874923073899,-0.5386300784362,5.347365596384e-09,0.0,True
C03,2026-04-30 04:00:00,360000.0,-5.98025508225e-07,5.773159728051e-14,0.0,6493.49246788,0.0004156081704423,0.1235672320083,-2.190964953182,-0.7682692198739,-0.2770430634299,5.804170338421e-09,0.0,True
C03,2026-04-30 05:00:00,363600.0,-5.979090929031e-07,3.46389583683e-14,0.0,6493.481910706,0.0004112573806196,0.1188538723409,-2.006439377488,-0.9543242208287,-0.01336762899826,6.30883421684e-09,0.0,True
C03,2026-04-30 06:00:00,367200.0,-5.976762622595e-07,4.796163466381e-14,0.0,6493.471895218,0.0004073817981407,0.1124644342637,-1.816594843781,-1.148104327474,0.2528022782525,6.836356190247e-09,0.0,True
C03,2026-04-30 07:00:00,370800.0,-5.975598469377e-07,4.529709940471e-14,0.0,6493.46710968,0.0004057582700625,0.1045771143651,-1.618678324564,-1.349006830726,0.518129946992,7.313161765399e-09,0.0,True
C03,2026-04-30 08:00:00,374400.0,-5.97327016294e-07,5.684341886081e-14,0.0,6493.470655441,0.0004066316178069,0.09543633992377,-1.408783436502,-1.556069875116,0.7777580503218,7.597102164085e-09,0.0,True
C03,2026-04-30 09:00:00,378000.0,-5.969777703285e-07,6.306066779871e-14,0.0,6493.481834412,0.0004084680695087,0.08537426502654,-1.181097388716,-1.773267935499,1.029850501704,7.627817729226e-09,0.0,True
C03,2026-04-30 10:00:00,381600.0,-5.968613550067e-07,4.618527782441e-14,0.0,6493.495952606,0.000409429310821,0.07485333270748,-0.9267403635531,-2.013334660453,1.278254904425,7.283517673461e-09,0.0,True
C03,2026-04-30 11:00:00,385200.0,-5.968613550067e-07,3.28626015289e-14,0.0,6493.506038666,0.0004091126611456,0.06454671788703,-0.6323432588578,-2.297265747848,1.530584269538,6.151684813793e-09,0.0,True
C03,2026-04-30 12:00:00,388800.0,-5.968613550067e-07,1.15463194561e-14,0.0,6493.50693512,0.000409044441767,0.05546947212616,-0.2801436758743,-2.648199777956,1.792195333455,3.224062866588e-09,0.0,True
C03,2026-04-30 13:00:00,392400.0,-5.96628524363e-07,3.552713678801e-14,0.0,6493.499498367,0.0004108421271667,0.04908458518714,0.1433959747551,-3.077436704528,2.060826528691,-2.445816163775e-09,0.0,True
C03,2026-04-30 14:00:00,396000.0,-5.961628630757e-07,8.260059303211e-14,0.0,6493.490795135,0.0004136060597375,0.04700253823295,0.6215817218651,2.722424595706,2.328928446018,-9.163238828535e-09,0.0,True
C03,2026-04-30 15:00:00,399600.0,-5.958136171103e-07,9.414691248821e-14,0.0,6493.487966537,0.0004146582214162,0.04990382077444,1.093873107246,2.249387735068,2.592636727349,-1.168655822063e-08,0.0,True
C03,2026-04-30 16:00:00,403200.0,-5.956972017884e-07,5.417888360171e-14,0.0,6493.497190475,0.0004109090659767,0.05686475657679,1.505241098054,1.840213334329,2.853373266153,-1.110581974483e-08,0.0,True
C03,2026-04-30 17:00:00,406800.0,-5.959300324321e-07,4.440892098501e-15,0.0,6493.508342743,0.0004063060041517,0.06624299773246,1.846359838767,1.498458687996,3.116875665171,-8.296059849907e-09,0.0,True
C03,2026-04-30 18:00:00,410400.0,-5.956972017884e-07,2.84217094304e-14,0.0,6493.513765335,0.000404185266234,0.07664933236378,2.132809300137,1.210510642604,-2.902033749926,-5.407725253463e-09,0.0,True
C03,2026-04-30 19:00:00,414000.0,-5.94649463892e-07,1.589839371263e-13,0.0,6493.508914948,0.000405793893151,0.08713713690294,2.381836942532,0.9647050407058,-2.642585704016,-2.909406902761e-09,0.0,True
C03,2026-04-30 20:00:00,417600.0,-5.945330485702e-07,9.148237722911e-14,0.0,6493.496255875,0.0004091381561011,0.09707647589916,2.60596954036,0.7505933775927,-2.390053458497,-8.464638300447e-10,0.0,True
C03,2026-04-30 21:00:00,421200.0,-5.943002179265e-07,8.615330671091e-14,0.0,6493.482585907,0.0004115849733353,0.1060309199277,2.813466869537,0.5555253997942,-2.140048355684,8.225342618536e-10,0.0,True
C03,2026-04-30 22:00:00,424800.0,-5.940673872828e-07,6.572520305781e-14,0.0,6493.474243164,0.0004122834652662,0.1136850462956,3.009749451163,0.3673000004108,-1.885784398444,2.156518399076e-09,0.0,True
C03,2026-04-30 23:00:00,428400.0,-5.938345566392e-07,7.727152251391e-14,0.0,6493.474266052,0.0004123313119635,0.1198065114278,-3.084699631973,0.1782559345152,-1.623256536933,3.21227666136e-09,0.0,True
C04,2026-04-30 00:00:00,345600.0,-1.00932084024e-07,-2.708944180085e-13,0.0,6493.408103943,0.0007453331490979,0.1207181654019,-2.692960313772,0.2473041800689,-0.9757728410612,4.210532528438e-09,0.0,True
C04,2026-04-30 01:00:00,349200.0,-1.005828380585e-07,-9.503509090791e-14,0.0,6493.399055481,0.0007422134513035,0.1282547989672,-2.519593625565,0.07637212401694,-0.7160391077315,4.704124517097e-09,0.0,True
C04,2026-04-30 02:00:00,352800.0,-1.006992533803e-07,-6.750155989721e-14,0.0,6493.387672424,0.0007376694120467,0.1337880744789,-2.350414454048,-0.09107427955216,-0.4557132744014,5.161643574602e-09,0.0,True
C04,2026-04-30 03:00:00,356400.0,-1.010484993458e-07,-8.348877145181e-14,0.0,6493.378580093,0.0007339639123529,0.1371973553234,-2.183758599705,-0.2578818531286,-0.1935784682574,5.664164506616e-09,0.0,True
