sat_id,toc_time,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,delta_n,health
C01,2026-05-05 00:00:00,172800.0,-7.662456482649e-07,6.838973831691e-14,0.0,6493.452596664,0.0003463837783784,0.08898920143172,3.066619749273,1.450624906544,-2.038690844594,-2.342954736326e-09,0.0
C01,2026-05-05 01:00:00,176400.0,-7.663620635867e-07,1.95399252334e-14,0.0,6493.459318161,0.0003461801679805,0.08644635576342,-2.957005470027,1.183046438861,-1.768157324816,-3.560862609935e-10,0.0
C01,2026-05-05 02:00:00,180000.0,-7.660128176212e-07,5.861977570021e-14,0.0,6493.469068527,0.0003469500225037,0.08392406701997,-2.689655675458,0.904267738701,-1.494185189759,1.65042588972e-09,0.0
C01,2026-05-05 03:00:00,183600.0,-7.660128176212e-07,2.39808173319e-14,0.0,6493.478128433,0.0003486125497147,0.08160442315178,-2.414178061647,0.6191581830179,-1.221984657274,3.585863651329e-09,0.0
C01,2026-05-05 04:00:00,187200.0,-7.657799869776e-07,4.796163466381e-14,0.0,6493.483249664,0.0003500130260363,0.07966992318923,-2.130943567564,0.3314107724518,-0.9548817696299,5.429869032983e-09,0.0
C01,2026-05-05 05:00:00,190800.0,-7.656635716558e-07,4.529709940471e-14,0.0,6493.482774734,0.0003498317673802,0.07828532096642,-1.841214404782,0.04197899311928,-0.6925727840707,7.151012154074e-09,0.0
C01,2026-05-05 06:00:00,194400.0,-7.656635716558e-07,2.6645352591e-14,0.0,6493.47712326,0.0003475958947092,0.07757635575517,-1.547172594612,-0.2499931902713,-0.4320254371479,8.643931483014e-09,0.0
C01,2026-05-05 07:00:00,198000.0,-7.656635716558e-07,9.769962616701e-15,0.0,6493.468622208,0.000344080850482,0.07761008040565,-1.251702859363,-0.5448711853976,-0.169996060584,9.758977929174e-09,0.0
C01,2026-05-05 08:00:00,201600.0,-7.654307410121e-07,4.884981308351e-14,0.0,6493.460941315,0.0003409633645788,0.07838319896343,-0.9579406040598,-0.8404965663528,0.09448532175005,1.020828235879e-08,0.0
C01,2026-05-05 09:00:00,205200.0,-7.651979103684e-07,4.973799150321e-14,0.0,6493.457502365,0.0003396794199944,0.0798224572686,-0.6687223025109,-1.131512181258,0.3588908152087,9.933628061196e-09,0.0
C01,2026-05-05 10:00:00,208800.0,-7.654307410121e-07,-5.329070518201e-15,0.0,6493.460224152,0.0003404867602512,0.08179747567319,-0.3861505439658,-1.411733914053,0.619131840252,8.996089008931e-09,0.0
C01,2026-05-05 11:00:00,212400.0,-7.655471563339e-07,-1.86517468137e-14,0.0,6493.468326569,0.0003422891022637,0.08414083636928,-0.1114011137207,-1.678158472916,0.8733746159013,7.557814813323e-09,0.0
C01,2026-05-05 12:00:00,216000.0,-7.657799869776e-07,-3.552713678801e-14,0.0,6493.478181839,0.0003435797989368,0.08666934397749,0.1552294444894,-1.933480280849,1.124605344167,5.794527079597e-09,0.0
C01,2026-05-05 13:00:00,219600.0,-7.658964022994e-07,-2.93098878501e-14,0.0,6493.484800339,0.0003437973791733,0.08920184681497,0.4141331605256,-2.184438596213,1.379168800236,3.831588172456e-09,0.0
C01,2026-05-05 14:00:00,223200.0,-7.657799869776e-07,0.0,0.0,6493.484766006,0.0003438431303948,0.09157185748971,0.6661649490841,-2.436526238984,1.641703265359,1.784360040044e-09,0.0
C01,2026-05-05 15:00:00,226800.0,-7.661292329431e-07,-4.796163466381e-14,0.0,6493.478885651,0.0003449451178312,0.09363543802898,0.9124481088862,-2.689201370637,1.910546754878,-3.003696544589e-10,0.0
C01,2026-05-05 16:00:00,230400.0,-7.664784789085e-07,-7.904787935331e-14,0.0,6493.472145081,0.0003467941423878,0.09527546574843,1.154238345906,-2.937131520186,2.179116228138,-2.348312102339e-09,0.0
C01,2026-05-05 17:00:00,234000.0,-7.66827724874e-07,-7.904787935331e-14,0.0,6493.470094681,0.0003474843688309,0.09640370474412,1.392842195205,3.105944080044,2.443035661213,-4.180174121031e-09,0.0
C01,2026-05-05 18:00:00,237600.0,-7.665948942304e-07,-1.33226762955e-14,0.0,6493.474197388,0.000345850829035,0.09696181384303,1.629574536332,2.870577627492,2.704073382665,-5.656664194198e-09,0.0
C01,2026-05-05 19:00:00,241200.0,-7.663620635867e-07,1.68753899743e-14,0.0,6493.480607986,0.0003431879449636,0.09692170648097,1.865745077417,2.634775141966,2.966105137933,-6.704564986329e-09,0.0
C01,2026-05-05 20:00:00,244800.0,-7.663620635867e-07,1.86517468137e-14,0.0,6493.483646393,0.0003419439308345,0.09628553168459,2.102660865545,2.397108923677,-3.053926809315,-7.225658120521e-09,0.0
C01,2026-05-05 21:00:00,248400.0,-7.661292329431e-07,3.730349362741e-14,0.0,6493.480308533,0.0003431632649153,0.09508571649604,2.341631115844,2.159996833887,-2.793371289069,-7.193513924443e-09,0.0
C01,2026-05-05 22:00:00,252000.0,-7.658964022994e-07,4.884981308351e-14,0.0,6493.472183228,0.0003456730628386,0.09338477433069,2.583967956111,1.924164737436,-2.537443999825,-6.575988202018e-09,0.0
C01,2026-05-05 23:00:00,255600.0,-7.660128176212e-07,9.769962616701e-15,0.0,6493.463832855,0.0003476087003946,0.09127495387677,2.830969720292,1.685444766088,-2.283269109426,-5.376295372854e-09,0.0
C02,2026-05-05 00:00:00,172800.0,3.362074494362e-07,1.048050535246e-13,0.0,6493.441148758,0.0002958019031212,0.1354833463738,-3.085359435822,0.1440950828243,-1.910455656044,-2.989410235221e-10,0.0
C02,2026-05-05 01:00:00,176400.0,3.36323864758e-07,6.572520305781e-14,0.0,6493.433549881,0.0002956554526463,0.1349139025856,-2.916495874251,-0.01465883999381,-1.65860252343,7.243158849497e-10,0.0
C02,2026-05-05 02:00:00,180000.0,3.365566954017e-07,6.572520305781e-14,0.0,6493.42375946,0.0002945022424683,0.1322170789378,-2.746687940543,-0.1717848100183,-1.409291784442,1.791503194728e-09,0.0
C02,2026-05-05 03:00:00,183600.0,3.364402800798e-07,3.10862446895e-14,0.0,6493.416812897,0.0002930453047156,0.1274520241341,-2.574583086474,-0.335887860609,-1.155234421956,2.890120385115e-09,0.0
C02,2026-05-05 04:00:00,187200.0,3.367895260453e-07,6.750155989721e-14,0.0,6493.415945053,0.0002928166650236,0.1207260476045,-2.398529793102,-0.5113637241231,-0.8936550741037,4.009452724085e-09,0.0
C02,2026-05-05 05:00:00,190800.0,3.369059413671e-07,4.618527782441e-14,0.0,6493.421363831,0.0002947979373857,0.1121975819139,-2.216310893971,-0.6974775885126,-0.6274818826019,5.161286416868e-09,0.0
C02,2026-05-05 06:00:00,194400.0,3.369059413671e-07,1.95399252334e-14,0.0,6493.430618286,0.0002985325409099,0.1020829195005,-2.024701432987,-0.8922885111238,-0.3618654309077,6.397052177186e-09,0.0
C02,2026-05-05 07:00:00,198000.0,3.371387720108e-07,4.618527782441e-14,0.0,6493.440031052,0.0003024373436347,0.09067126025051,-1.818675919358,-1.098057485976,-0.09956406422577,7.771395138373e-09,0.0
C02,2026-05-05 08:00:00,201600.0,3.373716026545e-07,5.151434834261e-14,0.0,6493.446060181,0.0003048507496715,0.07835841713117,-1.589907500909,-1.324449521279,0.1607572033371,9.444321965347e-09,0.0
