epoch,sat_id,sat_x_m,sat_y_m,sat_z_m,health,is_healthy,elevation_deg,rho_m,sisre_error_m,ionosphere_error_m,troposphere_error_m,receiver_clock_error_m,noise_error_m,satellite_clock_correction_m,raw_pseudorange_m,simulated_pseudorange_m,passed_health_filter,passed_elevation_filter,passed_outlier_filter,aligned_epoch
2026-04-01 00:00:00,C01,-32315070.547821585,27094189.4896617,284024.68239029916,0.0,True,45.13563933403242,37405946.96530547,0.4020720625505284,7.0543873701976825,3.406979788955977,70.39046877482315,-0.5932552382117385,-277.2738540556579,37406304.89981229,37406017.164591074,True,True,True,True
2026-04-01 00:00:00,C02,7321191.992765138,41480975.115164146,-1989242.2085597143,0.0,True,36.354056509311796,38069351.96825454,-0.07358464574325022,8.434928112037225,4.073724349248788,70.39046877482315,0.17043581774854372,27.739040791803664,38069407.225186154,38069422.45557448,True,True,True,True
2026-04-01 00:00:00,C03,-14678388.440437853,39487384.51746583,-1710407.0302934102,0.0,True,51.557073728847655,36974004.84779425,0.21366024248493795,6.3838382009096675,3.0831320404020914,70.39046877482315,-0.3080582057987487,-259.36083806576704,36974343.97167337,36974075.143865064,True,True,True,True
2026-04-01 00:00:00,C04,-39528893.29584888,14465809.890122239,-2088293.8513260635,0.0,True,27.568918418358447,38807248.00323352,-0.3781330017312429,10.803447581366024,5.217622116451474,70.39046877482315,0.07867652192414931,87.57458716109774,38807246.54072836,38807318.09424582,True,True,True,True
2026-04-01 00:00:00,C06,-20289044.950055607,20736110.10769863,-30560275.87041086,0.0,True,2.192021019665101,41391679.92487272,-0.6161441345828893,57.36856622834928,27.706664718624786,70.39046877482315,-0.06256051550043609,84729.22093321555,41307105.49093458,41391749.636636846,True,True,True,True
2026-04-01 00:00:00,C07,-19517977.286908537,37129577.78193109,-2465367.9479023577,0.0,True,50.43087830084538,36900041.62648736,-0.8484608649720834,6.486290230186107,3.1326121688335093,70.39046877482315,0.0025701563988414578,-6584.734669870231,36906705.5246377,36900111.17106543,True,True,True,True
2026-04-01 00:00:00,C08,-5378556.565814268,29957960.211395837,29350036.642874125,0.0,True,69.45858379762241,36260681.360791944,-0.664496607279671,5.339491276235535,2.5787553059949766,70.39046877482315,0.02616980710399448,-66489.69091903049,36327248.722099535,36260751.11293392,True,True,True,True
2026-04-01 00:00:00,C09,-5887409.228433336,21150578.738266684,-35817234.68803575,0.0,True,-7.969154840566596,42398407.12256108,0.6887098456653167,57.36856622834928,27.706664718624786,70.39046877482315,0.42421143831598795,-120797.46279331317,42519361.1639754,42398478.62595114,True,False,True,True
2026-04-01 00:00:00,C10,-17489175.146045238,37840234.32328723,4988628.99223743,0.0,True,62.263611751438994,36230959.07725458,0.5904294960540643,5.649090506738231,2.7282790372058767,70.39046877482315,-0.5235755208405714,-243416.3505902063,36474454.262537085,36231029.53457733,True,True,True,True
2026-04-01 00:00:00,C11,11477186.449599799,23353203.381519593,-10066321.202309655,0.0,True,5.9841513646426305,26494808.566828433,0.28562711626006915,47.96008322639954,23.1627532844728,70.39046877482315,-0.17924403174184322,-178325.83269771351,26673276.01921452,26494879.063680295,True,True,True,True
2026-04-01 00:00:00,C12,17940853.920842048,16406909.846893951,-13707769.901701296,0.0,True,-13.766614355690809,28720681.435020626,-0.6924721335596079,57.36856622834928,27.706664718624786,70.39046877482315,0.05647745746986859,197789.52396080585,28523046.740764868,28720751.189494725,True,False,True,True
2026-04-01 00:00:00,C13,-16685551.994297048,-6119487.322405938,21503900.622286938,0.0,True,12.705935765438388,25806720.545342553,0.3687689036584239,22.73272163301618,10.978972246243133,70.39046877482315,0.6851004869016651,-278491.56389882136,26085317.265273422,25806791.989680722,True,True,True,True
2026-04-01 00:00:00,C14,1068083.2235895833,-16105477.679287342,22763569.274444148,0.0,True,-15.678561992201702,28963350.22675071,-0.1448861241579897,57.36856622834928,27.706664718624786,70.39046877482315,0.40681816295615936,-113130.00738966855,29076635.96177214,28963420.879151523,True,False,True,True
2026-04-01 00:00:00,C19,24460266.283113,12586735.109117843,-4819121.065255328,0.0,True,-15.303276362456554,28921445.168216046,-1.8782677342045189,57.36856622834928,27.706664718624786,70.39046877482315,-0.11910585619203493,-285416.94179365673,29207015.578335837,28921513.56131123,True,False,True,True
2026-04-01 00:00:00,C20,11359436.018769536,17391420.82234709,-18655236.55578481,0.0,True,-12.599324707999633,28593481.99934805,-0.016988682750416036,57.36856622834928,27.706664718624786,70.39046877482315,-0.20605612584929164,-278080.27163678507,28871717.51363975,28593552.16677202,True,False,True,True
2026-04-01 00:00:00,C21,10649541.487871096,-12046632.617710207,22822367.93331656,0.0,True,-16.036686296868204,29016849.207100466,0.5382002419755981,57.36856622834928,27.706664718624786,70.39046877482315,-0.08678203704789535,-258280.5726686053,29275285.696886998,29016920.048987444,True,False,True,True
2026-04-01 00:00:00,C22,24757795.016563173,261145.50417625997,12903757.019418627,0.0,True,-16.795962818180463,29097833.604351986,0.5336812752486916,57.36856622834928,27.706664718624786,70.39046877482315,0.33404867066872523,134614.33671279936,28963375.601068854,29097904.862550706,True,False,True,True
2026-04-01 00:00:00,C23,-23775590.5536867,9544517.917896135,-11064627.484672207,0.0,True,8.65016700321602,26215111.02168079,-0.5465240187958618,33.24445523210705,16.055708472877154,70.39046877482315,-0.05935972575513199,-140635.1536509317,26355865.26008046,26215180.806265824,True,True,True,True
2026-04-01 00:00:00,C24,1958874.1183428466,-19997148.330780573,-19369843.666298535,0.0,True,-73.7069781314032,33963737.28398091,-0.052321280090363784,57.36856622834928,27.706664718624786,70.39046877482315,-0.06942503791587037,-66093.58537719859,34029986.21331152,33963807.55270337,True,False,True,True
2026-04-01 00:00:00,C25,-16783981.656851567,-5908575.124176276,-21514780.346809994,0.0,True,-31.370536773348043,30688421.75673201,-0.4610099500396566,57.36856622834928,27.706664718624786,70.39046877482315,-0.26719647681273023,269151.73014222377,30419424.764083084,30688491.41899436,True,False,True,True
2026-04-01 00:00:00,C26,16669417.339690996,-21285862.06026258,-6866689.354738035,0.0,True,-73.17540127912909,33938434.38460922,0.23680177319577464,57.36856622834928,27.706664718624786,70.39046877482315,-0.30254430508898017,-186467.76205219553,34125057.54661861,33938504.70933547,True,False,True,True
2026-04-01 00:00:00,C27,-8246399.780816849,20970430.03782246,16435217.49446722,0.0,True,82.08500891196424,21566538.770181507,-0.3012848579301194,5.048090799472145,2.43802082648238,70.39046877482315,0.26523582352014335,185072.83000126682,21381543.780711606,21566609.12460125,True,True,True,True
2026-04-01 00:00:00,C28,-15304846.03951766,6156528.590120465,22507286.177956443,0.0,True,41.121551275060845,23307540.531678572,0.39693366602084346,7.602728310285548,3.6718059747462433,70.39046877482315,0.0003746520400099561,151166.83179053327,23156455.76219942,23307611.31945567,True,True,True,True
2026-04-01 00:00:00,C29,15414567.292220889,17108363.939282984,-15773106.634667188,0.0,True,-12.98946800007426,28632648.85038501,-0.6770166744263221,57.36856622834928,27.706664718624786,70.39046877482315,-0.6678724859741423,176068.31033799858,28456734.660857577,28632717.895964626,True,False,True,True
2026-04-01 00:00:00,C30,6077938.945341524,27225775.337093387,-116961.40770475914,0.0,True,32.2061883691906,23965878.744380902,0.06279720305138552,9.38143211916398,4.530846967163139,70.39046877482315,-0.016996328090659863,126929.39107262317,23839033.70185702,23965949.180650555,True,True,True,True
2026-04-01 00:00:00,C31,7454756.136934161,-21360104.915520623,-16380803.985862432,0.0,True,-84.42796994790432,34265236.64720098,0.5210873026565941,57.36856622834928,27.706664718624786,70.39046877482315,0.30652239938144854,250996.22823179228,34014396.71227861,34265307.86527946,True,False,True,True
2026-04-01 00:00:00,C32,-10579446.160507265,12117182.163423574,-22788514.40194019,0.0,True,-9.551139537785652,28215239.17216282,-0.25533531648533375,57.36856622834928,27.706664718624786,70.39046877482315,-0.06758561332496807,-278319.89862639864,28493714.213568013,28215309.239710666,True,False,True,True
2026-04-01 00:00:00,C33,-24460820.432388697,-12454980.226632832,4928746.562805723,0.0,True,-10.08224107627709,28292208.030013733,-0.012785033710648106,57.36856622834928,27.706664718624786,70.39046877482315,0.02512998049203444,-276194.77613626665,28568558.284194674,28292278.432827458,True,False,True,True
2026-04-01 00:00:00,C34,-5691878.25012046,-27325807.025306854,-424568.73710835166,0.0,True,-52.64649994016857,32719661.007231425,0.2594258682438465,57.36856622834928,27.706664718624786,70.39046877482315,0.44661401738401213,275983.2841587049,32443833.894812327,32719732.103740085,True,False,True,True
2026-04-01 00:00:00,C35,15727436.489341164,-4633461.627806213,-22607074.89431023,0.0,True,-55.33738095880294,32922661.07541485,0.2361177688477023,57.36856622834928,27.706664718624786,70.39046877482315,0.10574732654301992,-101080.26929869031,33023897.152278364,32922731.807748724,True,False,True,True
2026-04-01 00:00:00,C36,16283677.82401976,6732369.694529061,21658010.759419728,0.0,True,9.059053203448586,26211629.604553103,-0.151826022093883,31.755635998806007,15.336669841869362,70.39046877482315,-0.24305858551579568,87267.422471883,26124479.269971233,26211699.600137275,True,True,True,True
2026-04-01 00:00:00,C37,-17881879.461477935,20624723.950999934,5882549.330224666,0.0,True,59.43765215177923,22242381.576704253,-0.3916287498323327,5.8066859500525885,2.804391173104721,70.39046877482315,-0.21495695184869656,-293968.26760023856,22536428.23926469,22242451.36058733,True,True,True,True
2026-04-01 00:00:00,C38,-15911018.200697448,-15814987.470952926,16589402.123062456,0.0,True,-9.581616905494625,28257816.49054342,0.04043418869423771,57.36856622834928,27.706664718624786,70.39046877482315,0.31750313015212556,40698.773196972106,28217273.540983494,28257887.23894952,True,False,True,True
2026-04-01 00:00:00,C39,23753387.613825895,-9020137.482046857,11508904.216135144,0.0,True,-31.50278031740727,30702081.355325356,-0.46111176855106417,57.36856622834928,27.706664718624786,70.39046877482315,-0.32538407453124557,-235408.1036538081,30937644.138183046,30702150.95929829,True,False,True,True
2026-04-01 00:00:00,C40,-1215787.6890018955,19530033.030147202,19901805.9356052,0.0,True,61.69882609714459,22140608.452334337,0.15093856864497712,5.678800415765702,2.742627704818877,70.39046877482315,0.8003322774768246,-109661.66306929132,22250349.878571376,22140679.79407396,True,True,True,True
2026-04-01 00:00:00,C41,-25247282.072276752,-1077043.795324563,-11740311.430486344,0.0,True,-8.625367662458045,28088102.52996951,-0.6331682514513937,57.36856622834928,27.706664718624786,70.39046877482315,-0.36862025064806586,-281479.48302549054,28369736.476906225,28088171.918649785,True,False,True,True
2026-04-01 00:00:00,C42,-8741525.681317806,-17366641.96474012,20034030.699389838,0.0,True,-13.524740444380859,28727542.435473904,-0.1811398840036757,57.36856622834928,27.706664718624786,70.39046877482315,-0.12427575622977523,-268463.85944189073,28996161.455199882,28727612.520527042,True,False,True,True
2026-04-01 00:05:00,C01,-32314606.633731306,27094188.30488606,290461.6014244915,0.0,True,45.14373151223811,37405068.75866149,0.35143943808989925,7.053395958613334,3.4065009778199906,70.41581838348628,0.26376038012256603,-277.26490978694017,37405427.514486425,37405139.7896797,True,True,True,True
2026-04-01 00:05:00,C02,7320294.815914352,41480454.10075009,-1998432.1085792966,0.0,True,36.34457390152597,38069885.70359733,0.03755730439937006,8.43682532969267,4.074640627568669,70.41581838348628,-0.5400612116776248,27.750184251723535,38069940.378193505,38069955.616911806,True,True,True,True
2026-04-01 00:05:00,C03,-14679071.092012879,39486679.379653804,-1711815.6080159564,0.0,True,51.55498519644796,36973764.35585032,0.6027805997922522,6.38402293200467,3.0832212579448823,70.41581838348628,0.07671204847189576,-259.35116337458976,36974104.26956891,36973835.451161355,True,True,True,True
2026-04-01 00:05:00,C04,-39529621.50055332,14464027.565423062,-2075215.598657529,0.0,True,27.579258758247608,38805725.84253935,0.2879556884744519,10.799714624711847,5.215819251481574,70.41581838348628,-0.19941925711542172,87.54886063042956,38805724.81356741,38805796.34689416,True,True,True,True
2026-04-01 00:05:00,C06,-20635446.043312714,21014828.399961494,-30137803.30470545,0.0,True,2.968961195391065,41308060.20640221,-0.2269052663144687,57.36856622834928,27.706664718624786,70.41581838348628,-0.046343347135097655,84729.3887537467,41223486.035449184,41308130.348971985,True,True,True,True
