epoch_time,sat_id,sat_X,sat_Y,sat_Z,health,satellite_clock_bias,satellite_clock_correction_m,elevation_deg,true_receiver_X,true_receiver_Y,true_receiver_Z,rho,sisre_error,ionosphere_error,troposphere_error,receiver_clock_error,noise_error,raw_simulated_pseudorange,simulated_pseudorange
2026-04-01 00:00:00,C19,703.4980170996757,248.97519548874854,677.5365958396084,0.0,0.0,0.0,-89.82621138137243,-2267800.0,5009340.0,3221000.0,6372407.534330989,0.4020720625505284,4.067447617882615,3.7792460627702495,70.39046877482315,0.17043581774854372,6372486.344001325,6372486.344001325
2026-04-01 00:00:00,C20,4778.835125113473,5571.753711294633,1338.6140298875446,0.0,0.0,0.0,-89.8250610584086,-2267800.0,5009340.0,3221000.0,6369343.032427501,0.21366024248493795,6.919417942012513,2.8656009948062713,70.39046877482315,0.07867652192414931,6369423.500251976,6369423.500251976
2026-04-01 00:00:00,C21,-177.53299804869226,-853.3948491261979,493.07374519392744,0.0,0.0,0.0,-89.82479839595862,-2267800.0,5009340.0,3221000.0,6373053.771050187,-0.6161441345828893,9.374394844995638,1.45461740508375,70.39046877482315,0.0025701563988414578,6373134.376957233,6373134.376957233
2026-04-01 00:00:00,C22,698.9613613901258,-837.2940466986281,1584.3856394978957,0.0,0.0,0.0,-89.81479835651085,-2267800.0,5009340.0,3221000.0,6372801.656529648,-0.664496607279671,10.261698071039945,6.06612953699595,70.39046877482315,0.42421143831598795,6372888.134540862,6372888.134540862
2026-04-01 00:00:00,C23,-119353.77461445112,62532.18575116243,73459.38930578007,0.0,0.0,0.0,-89.19666226394604,-2267800.0,5009340.0,3221000.0,6244496.827644011,0.5904294960540643,4.764244791594287,4.856881348780208,70.39046877482315,-0.17924403174184322,6244577.25042439,6244577.25042439
2026-04-01 00:00:00,C24,-113985.24086270081,-83372.23981889887,-127094.70462715591,0.0,0.0,0.0,-88.60137212635254,-2267800.0,5009340.0,3221000.0,6464083.394065341,-0.6924721335596079,10.564774574698685,5.106306710975272,70.39046877482315,0.6851004869016651,6464169.448243754,6464169.448243754
2026-04-01 00:00:00,C25,-297946.3530475872,9713.433586585386,-27859.239673046366,0.0,0.0,0.0,-87.47175012004044,-2267800.0,5009340.0,3221000.0,6279464.591285425,-0.1448861241579897,14.068181629561593,-1.6348032026135568,70.39046877482315,-0.11910585619203493,6279547.151140646,6279547.151140646
2026-04-01 00:00:00,C26,16151.477163656402,-154215.5230798489,-210653.88290066013,0.0,0.0,0.0,-89.12695665303914,-2267800.0,5009340.0,3221000.0,6607192.169295036,-0.016988682750416036,7.939438741507083,5.6146007259267945,70.39046877482315,-0.08678203704789535,6607276.010032558,6607276.010032558
2026-04-01 00:00:00,C28,-3171.1865847948175,4383.759195826275,1340.222958043788,0.0,0.0,0.0,-89.84528356402973,-2267800.0,5009340.0,3221000.0,6367443.734719363,0.5336812752486916,13.340486706687253,2.3604279436124145,70.39046877482315,-0.05935972575513199,6367530.300424337,6367530.300424337
2026-04-01 00:00:00,C29,75106.83367521693,-10657.455217539748,-89926.99353131762,0.0,0.0,0.0,-89.33856171603007,-2267800.0,5009340.0,3221000.0,6453822.467202435,-0.052321280090363784,9.305749620841297,2.61697014988103,70.39046877482315,-0.26719647681273023,6453904.460873224,6453904.460873224
2026-04-01 00:00:00,C30,16595.884604329935,29614.68708103923,-37450.708022496,0.0,0.0,0.0,-89.67430999275759,-2267800.0,5009340.0,3221000.0,6374451.330611549,0.23680177319577464,6.974556949110198,3.0961454262096417,70.39046877482315,0.26523582352014335,6374532.2938202955,6374532.2938202955
