epoch,sat_id,sat_x,sat_y,sat_z,receiver_x,receiver_y,receiver_z,elevation_deg,rho,sisre_error,iono_error,tropo_error,receiver_clock_error,noise_error,pseudorange,is_used,reject_reason
2026-04-01 00:00:00,C19,19497708.322036013,6900439.835033265,18778177.908231623,-2267800.0,5009340.0,3221000.0,3.5363323009824548,26820503.26841485,0.4020720625505284,4.067447617882615,3.7792460627702495,70.39046877482315,0.12819614549096275,26820582.035845514,yes,
2026-04-01 00:00:00,C20,17889925.774704244,20858275.650936384,5011201.476656358,-2267800.0,5009340.0,3221000.0,13.923378566436025,25704620.03225725,-0.5134303429979146,7.731201989612543,4.393382609620747,70.39046877482315,-0.06256051550043609,25704701.97131977,yes,
2026-04-01 00:00:00,C21,-4944803.740450103,-23769496.873379476,13733519.55045539,-2267800.0,5009340.0,3221000.0,-31.98692944331086,30755501.42835712,-0.8484608649720834,10.025701563988415,2.006510178160987,70.39046877482315,0.41322590739919,30755583.415802684,no,low_elevation
2026-04-01 00:00:00,C22,10137533.815444406,-12143871.150468346,22979471.94844944,-2267800.0,5009340.0,3221000.0,-15.689213297662219,28957247.34125852,0.7070190638599799,13.542576976324385,1.3821223957971434,70.39046877482315,-0.17924403174184322,28957333.184201702,no,low_elevation
2026-04-01 00:00:00,C23,-21706896.23413096,11372741.849000026,13360074.670735458,-2267800.0,5009340.0,3221000.0,48.316227610071905,22829195.795524877,-0.6924721335596079,10.564774574698685,5.106306710975272,70.39046877482315,-0.08693167449479382,22829281.077671126,yes,
2026-04-01 00:00:00,C24,-16753907.572701484,-12254312.834566372,-18680777.600566912,-2267800.0,5009340.0,3221000.0,-38.41443087413148,31425608.72703988,0.678030271593599,-1.2696064052271137,3.4044707190398253,70.39046877482315,-0.20605612584929164,31425681.72434712,no,low_elevation
2026-04-01 00:00:00,C25,-27783748.852395024,905785.8789129166,-2597897.6093423543,-2267800.0,5009340.0,3221000.0,6.2600888645120065,26490797.867386702,0.5382002419755981,9.132179629521046,5.601043825746075,70.39046877482315,-0.327914411277517,26490883.20136476,yes,
2026-04-01 00:00:00,C26,1724249.2679535418,-16463262.15758372,-22488333.40150097,-2267800.0,5009340.0,3221000.0,-68.22707743935169,33733943.213404074,-0.09893287625855332,9.686072319457818,3.652874810420648,70.39046877482315,-0.26719647681273023,33734026.57669063,no,low_elevation
2026-04-01 00:00:00,C27,-6617160.300065325,26072949.115787268,-7440756.597858386,-2267800.0,5009340.0,3221000.0,31.82309317755397,24005533.065408852,0.23680177319577464,6.974556949110198,3.0961454262096417,70.39046877482315,0.23816019961250606,24005614.001541976,yes,
2026-04-01 00:00:00,C28,-15875049.897233661,21945222.745605744,6709194.102415087,-2267800.0,5009340.0,3221000.0,64.71649028097697,22003383.199744426,0.0006244200666832602,5.937899953442067,0.6606375701292881,70.39046877482315,-0.016996328090659863,22003460.172378816,yes,
