scenario_name,nav_file_path,receiver_x,receiver_y,receiver_z,start_time,end_time,interval_seconds,random_seed,total_epochs,success_epochs,failed_epochs,success_rate,average_satellite_count,average_pdop,average_gdop,mean_error_3d,rms_error_3d,max_error_3d,output_dir,enable_receiver_motion,receiver_velocity_x,receiver_velocity_y,receiver_velocity_z
scenario_1_default,nav/tarc0910.26b_cnav,-2267800.0,5009340.0,3221000.0,2026-04-01 00:00:00,2026-04-01 01:00:00,300,2026,13,13,0,1.0,31.0,0.5426775278858078,0.5720149626653016,1.3093892119879889,1.423311239062836,2.4888518539235807,outputs\basic\scenario_1_default,True,0.5,0.2,0.1
scenario_2_different_seed,nav/tarc0910.26b_cnav,-2267800.0,5009340.0,3221000.0,2026-04-01 00:00:00,2026-04-01 01:00:00,300,42,13,13,0,1.0,31.0,0.5426775977470603,0.5720149949639015,1.6380052559892886,1.7894268731578338,3.6734797507307584,outputs\basic\scenario_2_different_seed,False,0.0,0.0,0.0
scenario_3_elevation_mask,nav/tarc0910.26b_cnav,-2270000.0,5009000.0,3220000.0,2026-04-01 00:00:00,2026-04-01 01:00:00,300,2026,13,13,0,1.0,9.384615384615385,2.130752943056029,2.5313485311596233,7.996482748118414,8.96188647724231,15.533166548237785,outputs\basic\scenario_3_elevation_mask,True,0.3,0.1,0.05
