epoch_time,status,satellite_count,raw_satellite_count,true_X,true_Y,true_Z,true_lat,true_lon,true_height,X,Y,Z,lat,lon,height,clock_bias,PDOP,GDOP,error_3d,iteration_count,rejected_outliers,failure_reason,elevation_mask_deg
2026-04-01 00:00:00,成功,27,27,-2267800.0,5009340.0,3221000.0,30.528523305097554,114.35694411951748,41.87964256014675,-2267789.919403612,5009345.40066409,3220993.704673042,30.52847089769767,114.35682522279058,39.338663039729,86.20078389577009,14.985602177368111,15.039163812431518,13.054376187974235,3,0,,0.0
2026-04-01 00:05:00,成功,27,27,-2267650.0,5009400.0,3221030.0,30.52878939343215,114.35526242831445,50.915960473939776,-2267666.2063723025,5009391.276661451,3221034.498147593,30.528830132724014,114.35545375145625,52.112472869455814,73.91298998050685,16.982630538820374,17.036574194772264,18.946674389327455,3,0,,0.0
2026-04-01 00:10:00,成功,27,27,-2267500.0,5009460.0,3221060.0,30.529055459293215,114.35358073270828,59.95649579260498,-2267459.937848186,5009478.086014185,3221047.9404522288,30.528961958721776,114.35312272685097,53.793145085684955,90.35677675336461,12.476111086901783,12.51882902893843,45.57973902413967,3,0,,0.0
2026-04-01 00:15:00,成功,27,27,-2267350.0,5009520.0,3221090.0,30.529321502680258,114.35189903270187,69.0012484965846,-2267469.9025050127,5009455.917709814,3221114.9326644335,30.529556179293607,114.3533125687731,73.96709341090173,85.21104796318494,18.36456924241925,18.411994568774197,138.2200722742755,3,0,,0.0
2026-04-01 00:20:00,成功,27,27,-2267200.0,5009580.0,3221120.0,30.529587523592756,114.35021732829807,78.0502185691148,-2267163.5767406025,5009597.976607086,3221107.7596804835,30.529486189500997,114.34979433496072,73.00365090183914,69.63980330668299,22.216427320911574,22.258887165890695,42.42213631270104,3,0,,0.0
2026-04-01 00:25:00,成功,27,27,-2267050.0,5009640.0,3221150.0,30.52985352203021,114.34853561949978,87.10340599063784,-2267009.014977125,5009662.94385151,3221138.309214432,30.52974433410158,114.34804798229912,84.61504412721843,97.34973715428684,16.54481386426785,16.57001916373253,48.40317024103998,3,0,,0.0
2026-04-01 00:30:00,成功,27,27,-2266900.0,5009700.0,3221180.0,30.5301194979921,114.34685390630987,96.16081074438989,-2266936.1258248044,5009677.43279297,3221195.317386169,30.53026447426575,114.34729379661856,99.06072031334043,88.04749737556317,17.78338608117658,17.801243724031963,45.265620176742985,3,0,,0.0
2026-04-01 00:35:00,成功,26,26,-2266750.0,5009760.0,3221210.0,30.530385451477922,114.34517218873124,105.22243281174451,-2266697.491241339,5009777.177904844,3221197.745473047,30.530317709738707,114.344599920483,93.83322564233094,88.37636404660078,12.875823324729174,12.991541719838569,56.58996007943415,3,0,,0.0
2026-04-01 00:40:00,成功,26,26,-2266600.0,5009820.0,3221240.0,30.530651382487157,114.34349046676675,114.2882721722126,-2266545.9125645366,5009839.709808586,3221234.2483970276,30.530626570244635,114.34289233415562,107.63037138897926,62.89137574420383,19.27346104369687,19.430002957888757,57.85333323385489,3,0,,0.0
2026-04-01 00:45:00,成功,26,26,-2266450.0,5009880.0,3221270.0,30.530917291019307,114.34180874041928,123.35832881275564,-2266389.972946762,5009905.655408006,3221252.082220979,30.53078434158007,114.34112868226005,113.07874860055745,96.22530487640711,14.65155085625253,14.763147131099096,67.6941200211034,3,0,,0.0
2026-04-01 00:50:00,成功,26,26,-2266300.0,5009940.0,3221300.0,30.531183177073856,114.34012700969174,132.4326027110219,-2266302.653844286,5009939.617514518,3221299.759004136,30.53117788949567,114.34015384715566,132.95214230008423,75.11474893583751,16.46417297740095,16.573080843788535,2.692074227396254,3,0,,0.0
2026-04-01 00:55:00,成功,26,26,-2266150.0,5010000.0,3221330.0,30.531449040650294,114.33844527458697,141.51109385024756,-2266243.2419577264,5009959.654785866,3221349.149532718,30.531590174848837,114.33950375503063,152.6766643691808,54.388267458323426,15.17391161088852,15.26112827485092,103.38521938605744,3,0,,0.0
2026-04-01 01:00:00,成功,26,26,-2266000.0,5010060.0,3221360.0,30.531714881748112,114.33676353510788,150.5938022127375,-2265999.9096406274,5010056.495905417,3221363.940584981,30.531760298458966,114.336777723964,149.81356645096093,66.60331477935,17.55975093326055,17.63879904228293,5.2739978815176585,3,0,,0.0
