scenario_name,nav_file_path,receiver_x,receiver_y,receiver_z,start_time,end_time,interval_seconds,random_seed,total_epochs,success_epochs,failed_epochs,success_rate,average_satellite_count,average_pdop,average_gdop,mean_error_3d,rms_error_3d,max_error_3d,output_dir
scenario_1_default,nav/tarc0910.26b_cnav,-2267800.0,5009340.0,3221000.0,2026-04-01 00:00:00,2026-04-01 01:00:00,300,2026,13,13,0,1.0,26.53846153846154,16.566850464184434,16.639471396710135,49.64768567434786,61.871046049013394,138.2192157043135,output\scenario_1_default
scenario_2_different_seed,nav/tarc0910.26b_cnav,-2267800.0,5009340.0,3221000.0,2026-04-01 00:00:00,2026-04-01 01:00:00,300,42,13,13,0,1.0,26.53846153846154,16.56684995897096,16.63947094424505,29.092247297034188,38.855029552041174,103.45935197071351,output\scenario_2_different_seed
scenario_3_elevation_mask,nav/tarc0910.26b_cnav,-2270000.0,5009000.0,3220000.0,2026-04-01 00:00:00,2026-04-01 01:00:00,300,2026,13,0,13,0.0,1.0,nan,nan,nan,nan,nan,output\scenario_3_elevation_mask
