sat_id,toc,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,DeltaN,IDOT,Cuc,Cus,Crc,Crs,Cic,Cis,health,is_healthy,parse_status
C19,2026-04-01 00:00:00,259200.0,-0.0009550654212944,3.79252185212e-12,0.0,34.1015625,0.00110137386946,0.9880121674268,-2.108259530569,-0.6638261036846,2.869007019624,3.84426727202e-09,4.835915721015e-10,3.85008752346e-06,4.771165549755e-06,278.23046875,77.2265625,-4.284083843231e-08,9.313225746155e-09,0.0,yes,ok
C19,2026-04-01 00:00:00,259200.0,-0.0009550654212944,3.79252185212e-12,0.0,34.1015625,0.00110137386946,0.9880121674268,-2.108259530569,-0.6638261036846,2.869007019624,3.84426727202e-09,4.835915721015e-10,3.85008752346e-06,4.771165549755e-06,278.23046875,77.2265625,-4.284083843231e-08,9.313225746155e-09,0.0,yes,ok
C19,2026-04-01 01:00:00,262800.0,-0.0009550516260788,3.812949955773e-12,0.0,39.08203125,0.001101049478166,0.9880140458137,-2.108284533302,-0.6632417790937,-2.927196905683,3.826945121911e-09,4.903775690512e-10,3.661029040813e-06,4.85498458147e-06,277.1953125,74.7578125,-1.210719347e-08,-1.955777406693e-08,0.0,yes,ok
C19,2026-04-01 01:00:00,262800.0,-0.0009550516260788,3.812949955773e-12,0.0,39.08203125,0.001101049478166,0.9880140458137,-2.108284533302,-0.6632417790937,-2.927196905683,3.826945121911e-09,4.903775690512e-10,3.661029040813e-06,4.85498458147e-06,277.1953125,74.7578125,-1.210719347e-08,-1.955777406693e-08,0.0,yes,ok
C19,2026-04-01 02:00:00,266400.0,-0.0009550370159559,3.899103262484e-12,0.0,35.380859375,0.001100541383494,0.9880158539804,-2.108309322449,-0.6628497719079,-2.440023332949,3.812123075942e-09,4.891275169815e-10,3.52319329977e-06,4.792585968971e-06,278.1875,72.4453125,-1.862645149231e-09,-1.303851604462e-08,0.0,yes,ok
C19,2026-04-01 02:00:00,266400.0,-0.0009550370159559,3.899103262484e-12,0.0,35.380859375,0.001100541383494,0.9880158539804,-2.108309322449,-0.6628497719079,-2.440023332949,3.812123075942e-09,4.891275169815e-10,3.52319329977e-06,4.792585968971e-06,278.1875,72.4453125,-1.862645149231e-09,-1.303851604462e-08,0.0,yes,ok
C19,2026-04-01 03:00:00,270000.0,-0.0009550231043249,3.890221478287e-12,0.0,17.623046875,0.001101446570829,0.9880175831496,-2.108334102087,-0.662933532014,-1.952371072938,3.814623180081e-09,4.943063041274e-10,3.518536686897e-06,4.966743290424e-06,274.73046875,72.30859375,6.519258022308e-09,-2.048909664154e-08,0.0,yes,ok
C19,2026-04-01 03:00:00,270000.0,-0.0009550231043249,3.890221478287e-12,0.0,17.623046875,0.001101446570829,0.9880175831496,-2.108334102087,-0.662933532014,-1.952371072938,3.814623180081e-09,4.943063041274e-10,3.518536686897e-06,4.966743290424e-06,274.73046875,72.30859375,6.519258022308e-09,-2.048909664154e-08,0.0,yes,ok
C19,2026-04-01 04:00:00,273600.0,-0.0009550087852404,3.919531366137e-12,0.0,7.412109375,0.001102888432797,0.9880193203648,-2.10835895487,-0.6624962270328,-1.465238399004,3.80980155067e-09,5.096640866978e-10,3.300607204437e-06,5.143694579601e-06,271.10546875,67.7890625,2.793967723846e-08,-5.587935447693e-09,0.0,yes,ok
C19,2026-04-01 05:00:00,277200.0,-0.0009549959213473,3.826272632068e-12,0.0,19.126953125,0.001103110844269,0.9880211234113,-2.108383882994,-0.6623663477028,-0.9778004681943,3.770871357642e-09,5.332364971548e-10,3.274530172348e-06,5.157664418221e-06,270.96484375,66.78515625,8.381903171539e-09,2.887099981308e-08,0.0,yes,ok
C19,2026-04-01 06:00:00,280800.0,-0.0009549816604704,3.854694341499e-12,0.0,39.5,0.001102794019971,0.9880230727497,-2.108408862321,-0.6634914545908,-0.4891107827531,3.702832809278e-09,5.577018019472e-10,3.338791429996e-06,5.3895637393e-06,266.28515625,68.0078125,-3.725290298462e-08,1.117587089539e-08,0.0,yes,ok
C19,2026-04-01 06:00:00,280800.0,-0.0009549816604704,3.854694341499e-12,0.0,39.5,0.001102794019971,0.9880230727497,-2.108408862321,-0.6634914545908,-0.4891107827531,3.702832809278e-09,5.577018019472e-10,3.338791429996e-06,5.3895637393e-06,266.28515625,68.0078125,-3.725290298462e-08,1.117587089539e-08,0.0,yes,ok
C19,2026-04-01 07:00:00,284400.0,-0.0009549682727084,3.806732706835e-12,0.0,45.67578125,0.001103025279008,0.9880252034899,-2.108433724613,-0.6646304277479,-0.0004079076424192,3.640865942395e-09,5.707380592453e-10,3.240071237087e-06,5.537644028664e-06,262.24609375,65.21875,-2.514570951462e-08,-3.632158041e-08,0.0,yes,ok
C19,2026-04-01 07:00:00,284400.0,-0.0009549682727084,3.806732706835e-12,0.0,45.67578125,0.001103025279008,0.9880252034899,-2.108433724613,-0.6646304277479,-0.0004079076424192,3.640865942395e-09,5.707380592453e-10,3.240071237087e-06,5.537644028664e-06,262.24609375,65.21875,-2.514570951462e-08,-3.632158041e-08,0.0,yes,ok
C19,2026-04-01 08:00:00,288000.0,-0.0009549545357004,3.810285420514e-12,0.0,29.86328125,0.001102519512642,0.9880273554423,-2.108458333821,-0.6641983205147,0.4867271742548,3.634079945445e-09,5.707380592453e-10,3.396533429623e-06,5.572102963924e-06,261.4140625,67.74609375,0.0,-3.539025783539e-08,0.0,yes,ok
C19,2026-04-01 08:00:00,288000.0,-0.0009549545357004,3.810285420514e-12,0.0,29.86328125,0.001102519512642,0.9880273554423,-2.108458333821,-0.6641983205147,0.4867271742548,3.634079945445e-09,5.707380592453e-10,3.396533429623e-06,5.572102963924e-06,261.4140625,67.74609375,0.0,-3.539025783539e-08,0.0,yes,ok
