epoch_time,sat_id,health,tk,semi_major_axis,mean_motion_0,mean_motion,mean_anomaly,eccentric_anomaly,true_anomaly,phi,delta_u,delta_r,delta_i,u,r,i,omega_k,x_orb,y_orb,x,y,z,is_geo
2026-04-01 00:00:00,C19,0.0,0.0,1162.9165649414062,503.4380686880677,503.43806869191195,2.869007019624,2.869303220056287,2.8695992635551995,2.205773159870599,-5.697756466958647e-06,-156.20477442387323,3.799874832479218e-09,2.205767462114132,1007.9454086079072,0.9880121712266748,-21.009421610569,-597.8671290613146,811.4855776424756,703.4980170996757,248.97519548874854,677.5365958396084,False
2026-04-01 00:00:00,C20,0.0,0.0,7231.974338531494,32.462620385434775,32.462620389197966,-3.121456050705,-3.1214749238387722,-3.1214937881292695,-3.3581562763803694,1.224330325517679e-06,222.71586837833047,-3.081502595659212e-10,-3.358155052050044,7461.47385530202,0.9879973302035497,-21.008793400629997,-7287.187765613182,1603.273701541054,4778.835125113473,5571.753711294633,1338.6140298875446,False
2026-04-01 00:00:00,C21,0.0,0.0,851.3401832580566,803.7374209951706,803.7374209989924,1.044558260216,1.0453455470595052,1.0461330137593043,0.6310235865569043,6.000807839989322e-06,150.5086020065532,-9.471804187086309e-08,0.6310295873647442,1001.46016002178,0.9872848400394582,-21.008187640632,808.5994672866556,590.8378403712697,-177.53299804869226,-853.3948491261979,493.07374519392744,False
2026-04-01 00:00:00,C22,0.0,0.0,2158.6187133789062,199.06961719198426,199.06961719583978,1.193149009525,1.1938637213749042,1.1945785344195856,1.4094248508538856,-2.091667619218244e-06,-234.49916923953165,-4.646359017141331e-08,1.4094227591862665,1923.5088146406968,0.9872941866013099,-21.008258050879,309.0580078462946,1898.5176606464681,698.9613613901258,-837.2940466986281,1584.3856394978957,False
2026-04-01 00:00:00,C23,0.0,0.0,153432.86822891235,0.33219361621251214,0.3321936199665971,3.05857572159,3.058588936050839,3.058602149462369,2.5095854952978693,-1.1842629440930653e-05,8.977514528224106,3.5905947484864486e-08,2.5095736526684282,153466.21662995813,0.9445575545065474,-18.92677754223253,-123822.12643312865,90663.99865597999,-119353.77461445112,62532.18575116243,73459.38930578007,False
2026-04-01 00:00:00,C24,0.0,0.0,189889.97772598267,0.24127694347845965,0.24127694720504345,-3.026664667475,-3.0267431389625354,-3.026821583778259,-2.170293924431759,1.2896845748256891e-05,-28.020088070177557,7.055567772114996e-08,-2.170281027586011,189991.12992772035,0.9445514449003778,-18.92696861396287,-107196.24504867125,-156861.7050101048,-113985.24086270081,-83372.23981889887,-127094.70462715591,False
2026-04-01 00:00:00,C25,0.0,0.0,299168.4037208557,0.12200996473723182,0.12200996842381395,2.45818603583,2.4585620118132314,2.4589379009827512,3.2565515407923513,3.2262555216696205e-06,96.96372228863473,6.691173707201028e-08,3.256554767047873,299403.60271973803,0.946158513088837,-18.94957129954688,-297427.27874702704,-34344.303438809104,-297946.3530475872,9713.433586585386,-27859.239673046366,False
2026-04-01 00:00:00,C26,0.0,0.0,261468.4358062744,0.14932756545012815,0.14932756900706204,-2.269575183133,-2.27030866866145,-2.271041928043428,-1.450561993589428,-3.7665957203989023e-06,-60.78533919150597,1.2230400242260877e-08,-1.4505657601851485,261569.0275137417,0.9462068824588002,-18.948938376817388,31372.880188546245,-259680.76275142076,16151.477163656402,-154215.5230798489,-210653.88290066013,False
2026-04-01 00:00:00,C28,0.0,0.0,5414.0278968811035,50.117356323847204,50.11735632817167,0.3068817090264,0.30691023536009976,0.3069387629777466,0.3003168745323706,-1.2338122357963833e-06,160.50342925638253,-3.710395127595631e-08,0.3003156407201348,5574.044009499898,0.9489197788609488,-16.830993605151,5324.567432156758,1648.9233700379423,-3171.1865847948175,4383.759195826275,1340.222958043788,False
2026-04-01 00:00:00,C29,0.0,0.0,117875.5425453186,0.49332523433224834,0.4933252387942199,2.991513328081,2.9915590419496794,2.9916047489085,4.3698840942215,6.695978505688158e-06,-261.36044884818017,-4.822707833608556e-09,4.369890790200006,117649.82780273078,0.9467045150261922,-16.871863304795,-39511.66282029102,-110816.56231442951,75106.83367521693,-10657.455217539748,-89926.99353131762,False
2026-04-01 00:00:00,C30,0.0,0.0,50632.91046524048,1.7523447417882367,1.752344746202885,-1.989626378188,-1.9902253242372905,-1.9908241903656458,-1.150687937078446,-4.6593618642445396e-07,-99.3396564900012,-3.247417838118478e-09,-1.1506884030146325,50547.092973724546,0.9466607102510821,-16.871393666398,20616.086525009458,-46151.76686203549,16595.884604329935,29614.68708103923,-37450.708022496,False
2026-04-01 00:00:00,C32,0.0,0.0,1414.612003326416,375.24324207412985,375.2432420779143,-1.90557954162,-1.9062978197160119,-1.9070160079493104,-2.50955899720911,5.637902156062088e-06,150.91139263424714,-5.1656727991862915e-08,-2.509553359306954,1565.8776879515044,0.986836857124472,-21.016756867608997,-1263.3883095008493,-925.1069738365046,287.62166441687924,1331.7527189896628,-771.8039953550729,False
