epoch_time,X,Y,Z,lat,lon,height,clock_bias,satellite_count,PDOP,GDOP,error_3d,status
2026-04-01 00:00:00,-2267805.7973344754,5009339.956473988,3220998.350253831,30.528499713373527,114.35699933677282,43.066969281062484,71.81509783685085,48,0.4456675407213049,0.47000517179625656,6.027656589058465,success
2026-04-01 00:05:00,-2267794.729786967,5009344.144383492,3220998.316096154,30.528502881320268,114.35687628319243,42.40417462494224,75.26097086633459,48,0.4458181445197799,0.4701360735136975,6.912784685257852,success
2026-04-01 00:10:00,-2267799.9480070802,5009337.170227446,3220996.7710673558,30.528510127075997,114.35695578641439,38.00043358746916,75.26422300584358,48,0.44596129556123987,0.4702601926105179,4.293753834820081,success
2026-04-01 00:15:00,-2267798.357744867,5009338.474667788,3220998.1974845757,30.52851877024216,114.356935085514,39.183673376217484,71.2577985115864,48,0.4460962864111708,0.47037687004098744,2.8762305427721615,success
2026-04-01 00:20:00,-2267804.1782790446,5009338.343418456,3221000.523761802,30.52852639374913,114.35699089998863,42.33009292837232,76.59661228105466,48,0.44622258928668174,0.4704856164306541,4.525108243169511,success
2026-04-01 00:25:00,-2267799.1537657925,5009341.385158681,3220999.82331339,30.528517749545784,114.35693013431833,42.576213921420276,74.23664989238833,48,0.4463398412531768,0.47058610250875965,1.6327875135953074,success
2026-04-01 00:30:00,-2267802.698891704,5009342.2510784855,3220998.98949029,30.528500957223326,114.35696006469469,44.09155609365553,73.49683584852747,48,0.4464478440556005,0.47067815029561855,3.656842989704301,success
2026-04-01 00:35:00,-2267799.8141758596,5009343.683763868,3220998.782628901,30.52849882094936,114.35692652532752,44.08592603728175,75.21430019092352,48,0.4465465647059553,0.47076174443879565,3.884152319454324,success
2026-04-01 00:40:00,-2267800.7407826977,5009341.613903242,3220996.264413709,30.528486143815645,114.35694421582262,41.51169433631003,73.5873931927272,48,0.44663611115885465,0.47083699846110727,4.1361875705896,success
2026-04-01 00:45:00,-2267800.6599801644,5009343.476484293,3221002.5522674727,30.5285273771728,114.35693544472498,46.13859512936324,73.01049754613028,48,0.4467167339921204,0.47090416373547594,4.3629790407469935,success
2026-04-01 00:50:00,-2267798.176495169,5009340.0099895615,3221001.997591279,30.528542230150503,114.35692676727031,42.254395010881126,73.56405520061922,48,0.44678879797328885,0.47096359940160193,2.704744087436918,success
2026-04-01 00:55:00,-2267801.649618609,5009343.073664614,3220999.3054939853,30.52850196172167,114.35694656973972,44.52481276355684,78.30237887133521,48,0.4468527590546786,0.47101574567025145,3.5568236276987926,success
2026-04-01 01:00:00,-2267804.6561812493,5009340.831597371,3221007.1001221505,30.528566201585974,114.356984743888,47.79293947573751,71.35063110833777,48,0.4469092022642725,0.47106117646967344,8.531313648311206,success
